cache-references,cycles,LLC-loads
172292942.0,4763514917.0,6102619.0
184547452.0,4739110490.0,6795625.0
185495277.0,4757134196.0,6752302.0
183375147.0,4764004823.0,6629441.0
185807678.0,4772831176.0,6741126.0
173171907.0,4739045373.0,6177028.0
175685432.0,4735200631.0,6345187.0
185621107.0,4782741508.0,6834225.0
186602546.0,4781756002.0,6777039.0
187076913.0,4786416049.0,6808142.0
176021796.0,4761839083.0,6277940.0
175992201.0,4737297943.0,6172456.0
188098947.0,4814201117.0,6903940.0
185113764.0,4780551129.0,6750683.0
189126666.0,4810642409.0,6814168.0
183060592.0,4766854396.0,6603648.0
189218503.0,4809122439.0,6839248.0
180009801.0,4734011405.0,6386051.0
182639203.0,4751221110.0,6562103.0
187352932.0,4823112825.0,6796674.0
186837423.0,4795940599.0,6747242.0
188351473.0,4783591035.0,6906856.0
184800547.0,4807726320.0,6770611.0
171632213.0,4743529061.0,6289109.0
184968959.0,4771448698.0,6742469.0
178004594.0,4781550421.0,6208307.0
182832504.0,4773671442.0,6702626.0
178441139.0,4775642840.0,6325931.0
184783684.0,4785349469.0,6681317.0
179384990.0,4750211833.0,6697003.0
179112788.0,4760234392.0,6421078.0
184236937.0,4768745705.0,6919425.0
184270602.0,4780488843.0,6712556.0
187552059.0,4784158143.0,6803251.0
174109399.0,4752372010.0,6163845.0
173986823.0,4783626362.0,6118688.0
176471639.0,4775861187.0,6287012.0
188094222.0,4790364992.0,6820496.0
176468892.0,4730880589.0,6284156.0
182096436.0,4765550581.0,6495947.0
172246781.0,4719776108.0,6149586.0
175110216.0,4729951803.0,6215101.0
187106571.0,4749401181.0,6740608.0
188977887.0,4760055146.0,6907996.0
185312160.0,4788506729.0,6646208.0
176762188.0,4741866240.0,6385180.0
184352188.0,4784361430.0,6606042.0
171567681.0,4739137296.0,6127803.0
173114392.0,4713857751.0,6248927.0
179569019.0,4780931314.0,6485168.0
173239274.0,4733486186.0,6049452.0
181539767.0,4767876776.0,6665281.0
185481512.0,4789443732.0,6770551.0
184963759.0,4783917436.0,6641301.0
187920783.0,4816607979.0,7011199.0
184954670.0,4781004275.0,6698407.0
189766573.0,4743857233.0,7072644.0
186429922.0,4768353901.0,6761543.0
188606848.0,4769477639.0,7082802.0
175331483.0,4763365867.0,6252674.0
186469124.0,4769518154.0,6881848.0
186387521.0,4780005369.0,6766373.0
171390416.0,4708733375.0,6111417.0
177192901.0,4772143214.0,6409517.0
184819606.0,4803536850.0,6700459.0
186531978.0,4741961432.0,6720806.0
184497679.0,4754406055.0,6771440.0
184871308.0,4780330216.0,6802540.0
186011726.0,4775284250.0,6755711.0
184916036.0,4756366743.0,6753810.0
186827539.0,4798684051.0,6787469.0
173739769.0,4727493965.0,6195000.0
184129781.0,4807293843.0,6792997.0
178864359.0,4769779795.0,6473370.0
184478206.0,4761036457.0,6747989.0
172774060.0,4729645524.0,6121131.0
173048697.0,4763996612.0,6105535.0
186320466.0,4745722175.0,6550060.0
175381973.0,4737903383.0,6219894.0
184500572.0,4791792910.0,6677078.0
188258812.0,4815614944.0,6738745.0
188486545.0,4807439108.0,6862621.0
179500966.0,4739072744.0,6317695.0
181833840.0,4731686936.0,6668628.0
178473588.0,4767827842.0,6321116.0
183374049.0,4784826392.0,6712990.0
180498965.0,4760437818.0,6358184.0
188363269.0,4762551499.0,6679709.0
184321930.0,4751742366.0,6620178.0
189905409.0,4796202884.0,6950344.0
189347330.0,4780438854.0,7036468.0
189128022.0,4814712925.0,6972368.0
182398230.0,4777732321.0,6614332.0
182787407.0,4752820029.0,6768698.0
180947367.0,4762853527.0,6443520.0
185328165.0,4753326233.0,6597153.0
185034275.0,4775874410.0,6694981.0
185486848.0,4832159797.0,6679933.0
174866277.0,4733292968.0,6197378.0
174239400.0,4775829323.0,6281019.0
183104473.0,4777064343.0,6622915.0
185342191.0,4795078815.0,6658351.0
187927910.0,4748303876.0,6695971.0
186191406.0,4764358469.0,6834781.0
187792816.0,4804754534.0,6866521.0
182347249.0,4766641781.0,6553868.0
180529802.0,4742695193.0,6549195.0
182226256.0,4803639602.0,6655774.0
180662775.0,4766621164.0,6563945.0
180776258.0,4738556182.0,6648259.0
183146983.0,4768143915.0,6687639.0
186732002.0,4803703139.0,6687834.0
186743154.0,4817251134.0,6871448.0
182590752.0,4752714150.0,6670980.0
185780309.0,4805419293.0,6764803.0
183591189.0,4804640543.0,6591568.0
183561305.0,4794432942.0,6536310.0
175167642.0,4747755383.0,6405706.0
188017085.0,4776495796.0,6791562.0
178883873.0,4766029588.0,6511260.0
173151232.0,4705890356.0,6206049.0
173579718.0,4699495089.0,6157644.0
177597942.0,4754749438.0,6380584.0
186740472.0,4843574831.0,6793599.0
189319690.0,4794268743.0,6880303.0
185172421.0,4757813851.0,6609245.0
183038931.0,4780858412.0,6696530.0
185976562.0,4778183214.0,6957071.0
185754986.0,4803875709.0,6764717.0
172818153.0,4732413096.0,6330139.0
186315431.0,4789065570.0,6643286.0
187911064.0,4781958351.0,6695593.0
187175923.0,4788791620.0,6850848.0
185414149.0,4768005244.0,6815612.0
177433339.0,4750258907.0,6233541.0
184467450.0,4782216054.0,6646575.0
180687540.0,4728465932.0,6523529.0
183927946.0,4767816207.0,6681474.0
186322721.0,4791555924.0,6717328.0
183745448.0,4780054444.0,6644384.0
184282771.0,4760166524.0,6958709.0
184569374.0,4786527522.0,6781925.0
178055357.0,4751724592.0,6205115.0
174296548.0,4732284670.0,6294471.0
184803389.0,4784271826.0,6652695.0
182168974.0,4763143599.0,6502789.0
184600981.0,4801015029.0,6764702.0
189211904.0,4794368629.0,6898091.0
172510551.0,4717780673.0,6127748.0
187941013.0,4811458469.0,6840269.0
178348979.0,4799104562.0,6458075.0
180091588.0,4758271197.0,6231739.0
185312001.0,4768081368.0,6726221.0
177099321.0,4751927757.0,6208836.0
183135458.0,4775861999.0,6548288.0
180130532.0,4736573874.0,6536390.0
182878091.0,4805596497.0,6533745.0
